city,country,country_code,latitude,longitude,population,medical_services_score,total_facilities,hospitals,clinics,health_centers,pharmacies,laboratories,other,total_beds,emergency_facilities,facilities_per_100k,health_capacity_score
Gemena,Congo (Kinshasa),CD,3.26,19.77,198056,28,1,0,0,0,1,0,0,0,0,0.5,13
Mbanza-Ngungu,Congo (Kinshasa),CD,-5.2496,14.86,197545,28,8,0,8,0,0,0,0,0,0,4.0,23
Brikama,The Gambia,GM,13.2804,-16.6599,195136,38,15,6,3,0,6,0,0,0,1,7.7,61
Bongor,Chad,TD,10.2859,15.3872,193941,24,14,1,13,0,0,0,0,0,0,7.2,36
Ziguinchor,Senegal,SN,12.59,-16.29,191716,38,26,2,10,0,14,0,0,11,1,13.6,63
Mwene-Ditu,Congo (Kinshasa),CD,-7.0,23.44,189177,28,5,2,2,0,1,0,0,0,0,2.6,29
Kabwe,Zambia,ZM,-14.44,28.45,188979,38,44,6,38,0,0,0,0,0,0,23.3,60
Quelimane,Mozambique,MZ,-17.88,36.89,188964,32,31,0,28,0,3,0,0,0,0,16.4,43
Parakou,Benin,BJ,9.34,2.62,188853,38,55,9,20,0,24,1,1,0,0,29.1,60
Mostaganem,Algeria,DZ,35.9404,0.09,188354,62,165,9,77,0,71,0,8,0,0,87.6,70
Laayoune,Morocco,MA,27.15,-13.2,188084,53,112,1,2,0,109,0,0,0,0,59.5,56
Paarl,South Africa,ZA,-33.6996,18.96,187865,52,36,1,14,0,13,0,8,0,0,19.2,56
Shendi,Sudan,SD,16.6805,33.42,186611,35,0,0,0,0,0,0,0,0,0,0.0,14
Ad Damazīn,Sudan,SD,11.7704,34.35,186051,35,0,0,0,0,0,0,0,0,0,0.0,14
Jamaame,Somalia,SO,0.0722,42.7506,185270,19,1,1,0,0,0,0,0,0,0,0.5,14
Yei,South Sudan,SS,4.0904,30.68,185000,18,2,1,1,0,0,0,0,0,0,1.1,16
Tiarat,Algeria,DZ,35.3804,1.32,184195,62,177,9,63,0,96,1,8,0,0,96.1,70
Fianarantsoa,Madagascar,MG,-21.4333,47.0833,184184,32,78,2,49,0,16,2,9,0,0,42.3,53
Dese,Ethiopia,ET,11.13,39.63,183802,34,7,0,5,0,2,0,0,0,0,3.8,25
Gweru,Zimbabwe,ZW,-19.45,29.82,183358,40,9,1,4,0,3,1,0,0,0,4.9,36
Shibin el Kom,Egypt,EG,30.592,30.9,182900,55,12,5,3,0,3,0,1,0,1,6.6,65
Chingola,Zambia,ZM,-12.5396,27.85,182015,38,20,1,19,0,0,0,0,0,0,11.0,50
Funtua,Nigeria,NG,11.5204,7.32,180475,37,2,2,0,0,0,0,0,0,0,1.1,28
El Jadida,Morocco,MA,33.2604,-8.51,180470,53,151,0,0,0,148,0,3,0,0,83.7,51
Zuwara,Libya,LY,32.9344,12.0791,180310,58,31,3,10,0,17,0,1,0,0,17.2,63
Obuasi,Ghana,GH,6.1904,-1.66,180117,45,4,1,1,0,2,0,0,0,0,2.2,30
Klerksdorp,South Africa,ZA,-26.88,26.62,178921,52,27,4,6,0,10,1,6,0,4,15.1,76
El Arish,Egypt,EG,31.1249,33.8006,178651,55,2,1,0,0,1,0,0,0,0,1.1,30
Boma,Congo (Kinshasa),CD,-5.83,13.05,178638,28,2,2,0,0,0,0,0,0,0,1.1,24
Korhogo,Ivory Coast,CI,9.46,-5.64,177711,36,0,0,0,0,0,0,0,0,0,0.0,14
El Oued,Algeria,DZ,33.3704,6.86,177497,62,70,9,35,0,21,1,4,0,0,39.4,70
Kadugli,Sudan,SD,11.01,29.7,176931,35,0,0,0,0,0,0,0,0,0,0.0,14
Ouargla,Algeria,DZ,31.97,5.34,176271,62,54,5,17,0,28,0,4,0,0,30.6,70
Entebbe,Uganda,UG,0.0604,32.46,175128,38,147,49,78,0,18,1,1,0,0,83.9,60
Harar,Ethiopia,ET,9.32,42.15,174994,34,13,2,1,0,10,0,0,0,1,7.4,54
George,South Africa,ZA,-33.95,22.45,174582,52,39,1,7,0,20,0,11,0,0,22.3,56
Bo,Sierra Leone,SL,7.97,-11.74,174354,30,66,2,6,0,58,0,0,0,0,37.9,52
Bida,Nigeria,NG,9.0804,6.01,173849,37,39,5,34,0,0,0,0,0,0,22.4,60
Bata,Equatorial Guinea,GQ,1.87,9.77,173046,45,2,0,2,0,0,0,0,0,0,1.2,22
Tébessa,Algeria,DZ,35.4104,8.12,171742,62,48,1,17,0,27,2,1,0,0,27.9,60
Djelfa,Algeria,DZ,34.68,3.25,170901,62,151,9,83,0,51,1,7,0,1,88.4,78
Uvira,Congo (Kinshasa),CD,-3.37,29.14,170391,28,10,0,10,0,0,0,0,0,0,5.9,29
Al Marj,Libya,LY,32.5005,20.83,169540,58,43,5,10,0,28,0,0,0,0,25.4,68
Sarh,Chad,TD,9.15,18.39,169196,24,10,0,8,0,2,0,0,0,0,5.9,27
Atbarah,Sudan,SD,17.71,33.98,168612,35,3,3,0,0,0,0,0,0,0,1.8,29
Nzérékoré,Guinea,GN,7.76,-8.83,168121,30,59,2,24,0,33,0,0,0,11,35.1,67
Benha,Egypt,EG,30.4667,31.1833,167029,55,12,2,4,0,4,0,2,0,0,7.2,54
Rustenburg,South Africa,ZA,-25.65,27.24,165976,52,16,1,8,0,5,0,2,220,1,9.6,63
Livingstone,Zambia,ZM,-17.86,25.86,165480,38,6,0,1,0,4,0,1,0,0,3.6,26
Kimberley,South Africa,ZA,-28.7468,24.77,165264,52,13,1,7,0,5,0,0,0,0,7.9,50
Kigoma,Tanzania,TZ,-4.8796,29.61,164268,36,61,6,13,0,42,0,0,0,2,37.1,67
Geneina,Sudan,SD,13.45,22.44,162981,35,2,2,0,0,0,0,0,0,0,1.2,28
Settat,Morocco,MA,33.0104,-7.62,161748,53,203,1,2,0,197,1,2,0,0,125.5,56
Bhisho,South Africa,ZA,-32.87,27.39,160997,52,2,0,1,0,1,0,0,0,0,1.2,24
Malakal,South Sudan,SS,9.5369,31.656,160765,18,1,0,1,0,0,0,0,0,0,0.6,9
Bumba,Congo (Kinshasa),CD,2.19,22.46,160539,28,0,0,0,0,0,0,0,0,0,0.0,11
Zarzis,Tunisia,TN,33.5104,11.1,159161,65,15,1,8,0,6,0,0,0,1,9.4,67
Abéché,Chad,TD,13.84,20.83,158317,24,5,3,0,0,2,0,0,0,0,3.2,29
Hurghada,Egypt,EG,27.23,33.83,157204,55,62,6,12,0,38,0,6,0,1,39.4,75
Isiro,Congo (Kinshasa),CD,2.76,27.62,157196,28,3,1,1,0,1,0,0,0,0,1.9,22
Moundou,Chad,TD,8.55,16.09,156705,24,8,2,2,0,3,0,1,0,0,5.1,35
Koforidua,Ghana,GH,6.0904,-0.26,156653,45,56,2,14,0,36,2,2,0,2,35.7,66
Gondar,Ethiopia,ET,12.61,37.46,156230,34,18,3,7,0,7,0,1,0,1,11.5,62
Malabo,Equatorial Guinea,GQ,3.75,8.7833,155963,45,8,0,1,0,7,0,0,0,0,5.1,33
Middelburg,South Africa,ZA,-25.7596,29.47,154706,52,7,0,0,0,7,0,0,0,0,4.5,34
Mahajanga,Madagascar,MG,-15.67,46.345,154657,32,42,3,19,0,19,1,0,0,1,27.2,61
Gandajika,Congo (Kinshasa),CD,-6.7396,23.96,154425,28,4,4,0,0,0,0,0,0,0,2.6,29
Moanda,Congo (Kinshasa),CD,-5.9229,12.355,153915,28,3,0,0,0,2,0,1,0,0,1.9,17
Mufulira,Zambia,ZM,-12.55,28.26,153624,38,13,1,12,0,0,0,0,0,0,8.5,46
Samalut,Egypt,EG,28.3004,30.71,152097,55,3,2,0,0,1,0,0,0,0,2.0,38
Luanshya,Zambia,ZM,-13.1333,28.4,151993,38,18,2,15,0,1,0,0,0,0,11.8,55
El Manaqil,Sudan,SD,14.2504,32.98,151827,35,5,2,2,0,1,0,0,0,0,3.3,34
Benguela,Angola,AO,-12.5783,13.4072,151226,32,1,0,1,0,0,0,0,0,0,0.7,15
Kitale,Kenya,KE,1.0305,34.9899,150495,42,24,7,17,0,0,0,0,0,0,15.9,62
Vryheid,South Africa,ZA,-27.76,30.79,150012,52,2,0,1,0,1,0,0,0,0,1.3,25
Keren,Eritrea,ER,15.6804,38.45,150000,28,1,0,1,0,0,0,0,0,0,0.7,13
M'sila,Algeria,DZ,35.7,4.545,150000,62,69,3,21,0,35,5,5,0,0,46.0,65
Tororo,Uganda,UG,0.7104,34.17,150000,38,264,31,209,0,23,0,1,0,0,176.0,60
Diourbel,Senegal,SN,14.6604,-16.24,148024,38,40,0,10,0,26,0,4,102,4,27.0,60
Jijel,Algeria,DZ,36.822,5.766,148000,62,125,2,47,0,63,4,9,0,0,84.5,65
Médéa,Algeria,DZ,36.2704,2.77,147707,62,164,7,83,0,55,1,18,0,0,111.0,70
Man,Ivory Coast,CI,7.4004,-7.55,146974,36,0,0,0,0,0,0,0,0,0,0.0,14
Wamba,Congo (Kinshasa),CD,2.1404,27.99,146871,28,0,0,0,0,0,0,0,0,0,0.0,11
Gulu,Uganda,UG,2.78,32.28,146858,38,242,66,155,0,21,0,0,0,0,164.8,60
Gharyan,Libya,LY,32.1704,13.02,146810,58,51,7,16,0,26,0,2,0,0,34.7,68
Tabora,Tanzania,TZ,-5.02,32.8,146495,36,47,2,9,0,34,1,1,0,0,32.1,54
Machakos,Kenya,KE,-1.5095,37.26,144925,42,21,9,9,0,2,0,1,0,1,14.5,70
Qairouan,Tunisia,TN,35.6804,10.1,144522,65,14,2,1,0,10,0,1,0,0,9.7,65
Kumba,Cameroon,CM,4.6404,9.44,144413,38,19,11,3,0,5,0,0,0,0,13.2,60
Goma,Congo (Kinshasa),CD,-1.6788,29.2218,144124,28,315,8,146,0,10,2,149,0,1,218.6,64
Tizi-Ouzou,Algeria,DZ,36.7117,4.0461,144000,62,223,15,87,0,106,4,11,0,1,154.9,78
Kafr el Sheikh,Egypt,EG,31.109,30.936,143970,55,5,1,1,0,1,1,1,0,0,3.5,38
Ajdabiya,Libya,LY,30.77,20.22,143833,58,37,3,21,0,13,0,0,0,0,25.7,63
Béchar,Algeria,DZ,31.6111,-2.23,143382,62,30,1,8,0,18,0,3,0,0,20.9,60
Kenema,Sierra Leone,SL,7.8804,-11.19,143137,30,16,2,11,0,3,0,0,0,10,11.2,67
Cape Coast,Ghana,GH,5.1104,-1.25,143015,45,70,2,20,0,44,3,1,0,0,48.9,58
Massawa,Eritrea,ER,15.6101,39.45,142564,28,0,0,0,0,0,0,0,0,0,0.0,11
Saïda,Algeria,DZ,34.8404,0.14,142213,62,16,0,10,0,6,0,0,0,0,11.3,55
Labé,Guinea,GN,11.32,-12.3,140575,30,29,8,6,0,14,1,0,0,0,20.6,57
Bordj Bou Arréridj,Algeria,DZ,36.0777,4.7647,140000,62,191,12,83,0,91,0,5,0,1,136.4,78
Bizerte,Tunisia,TN,37.2904,9.855,139843,65,16,0,1,0,14,0,1,0,0,11.4,56
Umtata,South Africa,ZA,-31.58,28.79,137772,52,7,1,3,0,3,0,0,0,1,5.1,49
Lira,Uganda,UG,2.2604,32.89,135445,38,235,136,71,0,28,0,0,610,14,173.5,75
Souk Ahras,Algeria,DZ,36.2904,7.95,134947,62,29,1,9,0,17,0,2,0,0,21.5,60
Touggourt,Algeria,DZ,33.1,6.06,133954,62,35,0,13,0,19,0,3,0,1,26.1,63
Musoma,Tanzania,TZ,-1.4896,33.8,133156,36,37,9,20,0,5,0,3,0,2,27.8,67
Awasa,Ethiopia,ET,7.06,38.477,133097,34,23,4,9,0,9,0,1,0,0,17.3,54
Moçâmedes,Angola,AO,-15.19,12.16,132900,32,9,3,0,0,2,0,4,0,1,6.8,51
Sennar,Sudan,SD,13.55,33.6,130122,35,1,0,0,0,1,0,0,0,0,0.8,16
Baydhabo,Somalia,SO,3.12,43.65,129839,19,0,0,0,0,0,0,0,0,0,0.0,8
Tete,Mozambique,MZ,-16.17,33.58,129316,32,3,0,2,0,1,0,0,0,0,2.3,20
Xai-Xai,Mozambique,MZ,-25.04,33.64,128805,32,4,2,2,0,0,0,0,0,1,3.1,40
Kamina,Congo (Kinshasa),CD,-8.73,25.01,128803,28,4,0,1,0,2,0,1,0,0,3.1,20
Moroni,Comoros,KM,-11.7042,43.2402,128698,35,36,5,12,0,18,0,1,0,0,28.0,59
Jima,Ethiopia,ET,7.68,36.83,128306,34,5,2,3,0,0,0,0,0,1,3.9,43
Girga,Egypt,EG,26.3304,31.88,128250,55,39,3,30,0,6,0,0,0,1,30.4,70
Surt,Libya,LY,31.21,16.59,128123,58,26,0,7,0,19,0,0,0,0,20.3,53
Darnah,Libya,LY,32.7648,22.6391,127974,58,25,1,3,0,21,0,0,0,0,19.5,58
Divo,Ivory Coast,CI,5.839,-5.36,127867,36,0,0,0,0,0,0,0,0,0,0.0,14
Worcester,South Africa,ZA,-33.64,19.4399,127597,52,13,0,4,0,7,0,2,0,0,10.2,51
Tukuyu,Tanzania,TZ,-9.2496,33.64,127570,36,181,1,66,0,51,0,63,0,0,141.9,49
Wau,South Sudan,SS,7.7,27.99,127384,18,0,0,0,0,0,0,0,0,0,0.0,7
Lafia,Nigeria,NG,8.4904,8.52,127236,37,65,0,12,0,53,0,0,0,0,51.1,45
Gafsa,Tunisia,TN,34.4204,8.78,126803,65,26,0,10,0,16,0,0,0,0,20.5,56
Songea,Tanzania,TZ,-10.68,35.65,126449,36,5,1,3,0,1,0,0,0,0,4.0,31
Malanje,Angola,AO,-9.54,16.34,125856,32,0,0,0,0,0,0,0,0,0,0.0,13
Gashua,Nigeria,NG,12.8705,11.04,125817,37,1,0,1,0,0,0,0,0,0,0.8,17
Lubango,Angola,AO,-14.91,13.49,125632,32,88,14,13,0,56,2,3,0,2,70.0,66
Kumbo,Cameroon,CM,6.2204,10.68,125486,38,3,3,0,0,0,0,0,18,0,2.4,32
Ghardaia,Algeria,DZ,32.49,3.67,125480,62,31,2,10,0,19,0,0,0,1,24.7,73
Potchefstroom,South Africa,ZA,-26.6996,27.1,123669,52,6,1,2,0,3,0,0,0,1,4.9,48
Guelma,Algeria,DZ,36.466,7.428,123590,62,80,6,18,0,51,0,5,0,0,64.7,70
Gagnoa,Ivory Coast,CI,6.1504,-5.88,123184,36,0,0,0,0,0,0,0,0,0,0.0,14
Ségou,Mali,ML,13.44,-6.26,122952,28,131,22,72,0,36,1,0,0,0,106.5,56
Brits,South Africa,ZA,-25.6296,27.78,122497,52,6,0,2,0,3,0,1,0,0,4.9,36
Larache,Morocco,MA,35.2004,-6.16,120082,53,58,4,0,0,54,0,0,0,0,48.3,61
Maxixe,Mozambique,MZ,-23.866,35.3886,119868,32,5,0,4,0,1,0,0,0,0,4.2,25
Bandundu,Congo (Kinshasa),CD,-3.31,17.38,118211,28,17,1,12,0,4,0,0,0,0,14.4,46
Bama,Nigeria,NG,11.5204,13.69,118121,37,50,22,28,0,0,0,0,0,0,42.3,60
Sokodé,Togo,TG,8.9905,1.15,117811,36,48,26,11,0,10,0,1,0,0,40.7,59
Agadez,Niger,NE,16.9959,7.9828,117770,26,13,2,6,0,5,0,0,0,0,11.0,50
Jalingo,Nigeria,NG,8.9004,11.36,117757,37,0,0,0,0,0,0,0,0,0,0.0,15
Nkongsamba,Cameroon,CM,4.9604,9.94,117063,38,6,4,1,0,1,0,0,0,0,5.1,40
Kindia,Guinea,GN,10.06,-12.87,117062,30,19,5,7,0,7,0,0,0,5,16.2,72
Gao,Mali,ML,16.2666,-0.05,116967,28,11,3,3,0,5,0,0,0,0,9.4,49
Port-Gentil,Gabon,GA,-0.72,8.78,116836,48,15,1,6,0,8,0,0,0,0,12.8,54
Boké,Guinea,GN,10.94,-14.3,116270,30,10,1,2,0,6,0,1,0,0,8.6,43
Tahoua,Niger,NE,14.9,5.2599,115956,26,19,1,11,0,7,0,0,0,0,16.4,45
Inhambane,Mozambique,MZ,-23.858,35.3398,115776,32,22,0,21,0,0,0,1,0,0,19.0,43
Toliara,Madagascar,MG,-23.3568,43.69,115319,32,30,6,10,0,9,2,3,0,0,26.0,58
Goulimine,Morocco,MA,28.98,-10.07,115267,53,48,0,1,0,47,0,0,0,0,41.6,51
Nabeul,Tunisia,TN,36.4603,10.73,115149,65,108,1,20,0,79,1,7,0,0,93.8,61
Giyon,Ethiopia,ET,8.5304,37.97,114534,34,7,1,6,0,0,0,0,0,0,6.1,37
Shashemene,Ethiopia,ET,7.2004,38.59,114350,34,11,3,4,0,4,0,0,0,0,9.6,52
Kuito,Angola,AO,-12.38,16.94,114286,32,2,0,0,0,2,0,0,0,0,1.7,18
Kankan,Guinea,GN,10.39,-9.31,114009,30,18,5,1,0,11,1,0,0,1,15.8,65
Laghouat,Algeria,DZ,33.81,2.88,113872,62,90,5,38,0,39,2,6,0,0,79.0,70
Praia,Cape Verde,CV,14.9167,-23.5167,113364,58,7,0,0,0,0,0,7,0,0,6.2,42
Kipushi,Congo (Kinshasa),CD,-11.7596,27.25,113347,28,0,0,0,0,0,0,0,0,0,0.0,11
Juba,South Sudan,SS,4.83,31.58,111975,18,256,15,225,0,16,0,0,0,1,228.6,60
Iringa,Tanzania,TZ,-7.7696,35.69,111820,36,22,1,10,0,10,1,0,0,0,19.7,49
Jawhar,Somalia,SO,2.767,45.5166,111308,19,2,0,2,0,0,0,0,0,0,1.8,13
Nsukka,Nigeria,NG,6.867,7.3834,111017,37,5,1,0,0,4,0,0,0,0,4.5,33
Nguru,Nigeria,NG,12.8804,10.45,111014,37,5,4,0,0,1,0,0,0,0,4.5,38
Pemba,Mozambique,MZ,-12.983,40.5323,110643,32,15,0,13,0,2,0,0,0,0,13.6,43
Manzini,eSwatini,SZ,-26.495,31.388,110537,36,0,0,0,0,0,0,0,0,0,0.0,14
Mzuzu,Malawi,MW,-11.46,34.02,110201,35,4,1,2,0,1,0,0,0,0,3.6,30
Bouïra,Algeria,DZ,36.3805,3.9,110144,62,145,10,53,0,73,3,6,0,1,131.6,78
Lichinga,Mozambique,MZ,-13.3,35.24,109839,32,17,0,17,0,0,0,0,0,0,15.5,43
Kandi,Benin,BJ,11.1304,2.94,109701,38,3,1,0,0,2,0,0,0,0,2.7,28
Soubré,Ivory Coast,CI,5.7904,-6.61,108933,36,0,0,0,0,0,0,0,0,0,0.0,14
Mopti,Mali,ML,14.49,-4.18,108456,28,9,2,5,0,2,0,0,0,0,8.3,46
Mascara,Algeria,DZ,35.4004,0.14,108230,62,63,4,31,0,26,0,2,0,0,58.2,65
Birnin Kebbi,Nigeria,NG,12.4504,4.1999,108164,37,50,5,45,0,0,0,0,0,0,46.2,60
En Nuhud,Sudan,SD,12.6904,28.42,108008,35,1,0,1,0,0,0,0,0,0,0.9,17
Shinyanga,Tanzania,TZ,-3.6596,33.42,107362,36,44,11,10,0,23,0,0,0,0,41.0,59
Ilebo,Congo (Kinshasa),CD,-4.3196,20.61,107093,28,0,0,0,0,0,0,0,0,0,0.0,11
Azare,Nigeria,NG,11.6804,10.19,105687,37,2,2,0,0,0,0,0,0,1,1.9,38
Assab,Eritrea,ER,13.01,42.73,105496,28,0,0,0,0,0,0,0,0,0,0.0,11
Queenstown,South Africa,ZA,-31.8996,26.88,105309,52,2,0,1,0,1,0,0,0,0,1.9,26
Kongolo,Congo (Kinshasa),CD,-5.3795,26.98,105202,28,1,1,0,0,0,0,0,0,0,1.0,19
Koutiala,Mali,ML,12.3904,-5.47,104927,28,39,6,15,0,18,0,0,0,0,37.2,56
Mmabatho,South Africa,ZA,-25.83,25.61,104428,52,4,0,3,0,1,0,0,0,0,3.8,32
Adigrat,Ethiopia,ET,14.2804,39.47,104021,34,11,0,4,0,7,0,0,0,0,10.6,44
Abengourou,Ivory Coast,CI,6.7304,-3.49,104020,36,0,0,0,0,0,0,0,0,0,0.0,14
Kroonstad,South Africa,ZA,-27.66,27.21,103992,52,1,0,1,0,0,0,0,0,0,1.0,24
Ad-Damir,Sudan,SD,17.59,33.96,103941,35,0,0,0,0,0,0,0,0,0,0.0,14
Loubomo,Congo (Brazzaville),CG,-4.1796,12.67,103894,36,0,0,0,0,0,0,0,0,0,0.0,14
Matruh,Egypt,EG,31.3504,27.23,103470,55,2,2,0,0,0,0,0,0,0,1.9,38
Bethal,South Africa,ZA,-26.4696,29.45,101919,52,3,0,0,0,3,0,0,0,0,2.9,30
Oum el Bouaghi,Algeria,DZ,35.85,7.15,100821,62,130,9,59,0,47,3,12,0,0,128.9,70
Bukoba,Tanzania,TZ,-1.3196,31.8,100504,36,66,8,26,0,31,0,1,0,2,65.7,67
Kpalimé,Togo,TG,6.9004,0.63,100479,36,66,38,11,0,17,0,0,0,0,65.7,59
Sabha,Libya,LY,27.0333,14.4333,100249,58,37,2,17,0,15,0,3,0,0,36.9,63
Isna,Egypt,EG,25.2904,32.5499,100000,55,20,3,17,0,0,0,0,0,0,20.0,62
Arlit,Niger,NE,18.82,7.33,100000,26,1,0,1,0,0,0,0,0,0,1.0,13
