city,country,country_code,latitude,longitude,population,medical_services_score,total_facilities,hospitals,clinics,health_centers,pharmacies,laboratories,other,total_beds,emergency_facilities,facilities_per_100k,health_capacity_score
Blida,Algeria,DZ,36.4203,2.83,511348,62,384,5,172,0,169,4,34,0,0,75.1,70
Suez,Egypt,EG,30.005,32.5499,508335,55,12,3,2,0,6,0,1,0,0,2.4,39
Annaba,Algeria,DZ,36.92,7.76,503524,62,125,6,47,0,63,4,5,0,1,24.8,78
Damanhûr,Egypt,EG,31.0504,30.47,500000,55,14,2,2,0,9,1,0,0,0,2.8,40
Awka,Nigeria,NG,6.2104,7.07,500000,37,4,2,0,0,2,0,0,0,0,0.8,27
El Minya,Egypt,EG,28.09,30.75,500000,55,20,7,4,0,9,0,0,0,0,4.0,49
Mwanza,Tanzania,TZ,-2.52,32.93,493944,36,365,48,84,0,228,4,1,0,88,73.9,74
Port Sudan,Sudan,SD,19.6158,37.2164,489725,35,4,3,0,0,1,0,0,0,0,0.8,26
Beni Suef,Egypt,EG,29.0804,31.09,489450,55,7,2,0,0,4,1,0,0,0,1.4,36
Ife,Nigeria,NG,7.4804,4.56,482365,37,2,2,0,0,0,0,0,0,0,0.4,26
Nazret,Ethiopia,ET,8.55,39.27,476892,34,21,0,4,0,17,0,0,0,0,4.4,27
Bloemfontein,South Africa,ZA,-29.12,26.2299,463064,52,27,3,6,0,17,0,1,0,0,5.8,48
Calabar,Nigeria,NG,4.9604,8.33,461796,37,1,1,0,0,0,0,0,0,0,0.2,20
Sfax,Tunisia,TN,34.75,10.72,453050,65,179,3,24,0,147,1,4,0,1,39.5,74
Chlef,Algeria,DZ,36.1704,1.32,449167,62,516,7,218,0,286,0,5,0,0,114.9,70
Ado Ekiti,Nigeria,NG,7.6304,5.22,446749,37,0,0,0,0,0,0,0,0,0,0.0,15
Bamenda,Cameroon,CM,5.96,10.15,445299,38,10,2,3,0,4,0,1,98,0,2.2,32
Garoua,Cameroon,CM,9.3,13.39,436899,38,68,13,30,0,23,0,2,56,0,15.6,60
Bukavu,Congo (Kinshasa),CD,-2.51,28.84,436779,28,94,6,60,0,2,0,26,0,0,21.5,56
Likasi,Congo (Kinshasa),CD,-10.97,26.78,434408,28,0,0,0,0,0,0,0,0,0,0.0,11
Katsina,Nigeria,NG,12.9904,7.6,432149,37,3,2,0,0,1,0,0,0,0,0.7,27
Welkom,South Africa,ZA,-27.97,26.73,431944,52,11,2,0,0,9,0,0,140,1,2.5,46
Arak,Algeria,DZ,25.28,3.75,423251,62,0,0,0,0,0,0,0,0,0,0.0,25
Akure,Nigeria,NG,7.2504,5.2,420594,37,12,2,4,0,5,0,1,0,3,2.9,48
Asyut,Egypt,EG,27.19,31.1799,420585,55,36,20,8,0,7,0,1,0,0,8.6,63
Kolwezi,Congo (Kinshasa),CD,-10.7167,25.4724,418000,28,0,0,0,0,0,0,0,0,0,0.0,11
Oujda,Morocco,MA,34.69,-1.91,409391,53,394,1,6,0,383,1,3,0,0,96.2,56
Oshogbo,Nigeria,NG,7.7704,4.56,408245,37,7,4,1,0,2,0,0,0,0,1.7,30
Kitwe,Zambia,ZM,-12.81,28.22,404901,38,50,0,49,0,0,0,1,0,0,12.3,45
Tanta,Egypt,EG,30.7904,31.0,404901,55,13,3,4,0,4,1,1,0,0,3.2,42
Zanzibar,Tanzania,TZ,-6.16,39.2,403658,36,194,64,27,0,99,1,3,0,9,48.1,74
Bissau,Guinea Bissau,GW,11.865,-15.5984,403339,28,19,1,2,0,16,0,0,0,0,4.7,30
Mbale,Uganda,UG,1.0904,34.17,402368,38,478,61,339,0,68,5,5,2,0,118.8,60
Kassala,Sudan,SD,15.46,36.39,401477,35,8,2,1,0,4,0,1,0,1,2.0,38
Ndola,Zambia,ZM,-12.9999,28.65,396339,38,13,1,11,0,1,0,0,0,0,3.3,30
Kisumu,Kenya,KE,-0.09,34.75,395615,42,129,18,42,0,64,1,4,0,0,32.6,62
Al-Ubayyid,Sudan,SD,13.1833,30.2167,393311,35,0,0,0,0,0,0,0,0,0,0.0,14
Nyala,Sudan,SD,12.06,24.89,392373,35,0,0,0,0,0,0,0,0,0,0.0,14
Nampula,Mozambique,MZ,-15.136,39.293,388526,32,33,0,18,0,15,0,0,0,0,8.5,38
Misrata,Libya,LY,32.38,15.1,386120,58,239,28,88,0,118,0,5,0,1,61.9,76
Béjaïa,Algeria,DZ,36.7604,5.07,384937,62,174,5,65,0,80,3,21,0,0,45.2,70
Nakuru,Kenya,KE,-0.28,36.07,364727,42,37,9,8,0,19,0,1,0,3,10.1,77
Maseru,Lesotho,LS,-29.3167,27.4833,361324,38,53,2,21,0,24,0,6,0,0,14.7,55
Tamale,Ghana,GH,9.4004,-0.84,360579,45,69,2,8,0,57,1,1,0,1,19.1,66
Bobo Dioulasso,Burkina Faso,BF,11.18,-4.29,360106,32,0,0,0,0,0,0,0,0,0,0.0,13
Safi,Morocco,MA,32.32,-9.24,353476,53,140,0,0,0,139,0,1,0,0,39.6,51
Eldoret,Kenya,KE,0.52,35.27,353381,42,18,10,7,0,0,0,1,0,3,5.1,62
Mbombela,South Africa,ZA,-25.4696,30.98,348138,52,29,2,10,0,8,1,8,0,2,8.3,64
Kosti,Sudan,SD,13.17,32.66,345068,35,2,0,2,0,0,0,0,0,0,0.6,16
Arusha,Tanzania,TZ,-3.36,36.67,341136,36,72,11,12,0,43,3,3,0,6,21.1,74
Chitungwiza,Zimbabwe,ZW,-18.0,31.1,340360,40,8,1,6,0,1,0,0,0,0,2.4,28
East London,South Africa,ZA,-32.97,27.87,338627,52,21,0,9,0,10,0,2,0,0,6.2,39
Beni,Congo (Kinshasa),CD,0.4904,29.45,332903,28,208,12,104,0,18,7,67,0,0,62.5,56
Medani,Sudan,SD,14.4,33.52,332714,35,24,4,1,0,19,0,0,0,0,7.2,46
Bujumbura,Burundi,BI,-3.3761,29.36,331700,30,118,79,13,0,25,0,1,0,2,35.6,65
Sousse,Tunisia,TN,35.83,10.625,327004,65,208,4,15,0,120,1,68,0,1,63.6,74
Maroua,Cameroon,CM,10.5956,14.3247,319941,38,4,1,3,0,0,0,0,0,0,1.3,24
El Faiyum,Egypt,EG,29.31,30.84,316772,55,7,2,2,0,2,0,1,0,1,2.2,47
Bauchi,Nigeria,NG,10.3104,9.84,316149,37,18,8,7,0,0,2,1,0,2,5.7,55
Aswan,Egypt,EG,24.0875,32.8989,313442,55,26,0,23,0,2,0,1,0,0,8.3,47
Sapele,Nigeria,NG,5.8904,5.68,309162,37,0,0,0,0,0,0,0,0,0,0.0,15
Antsirabe,Madagascar,MG,-19.85,47.0333,307921,32,19,3,5,0,10,0,1,0,0,6.2,41
Ksar El Kebir,Morocco,MA,35.0204,-5.91,306600,53,83,5,1,0,77,0,0,0,1,27.1,74
Kom Ombo,Egypt,EG,24.47,32.95,303962,55,29,0,28,0,1,0,0,0,0,9.5,50
Qena,Egypt,EG,26.1505,32.72,302027,55,4,2,1,0,1,0,0,0,0,1.3,36
Jinja,Uganda,UG,0.4404,33.1999,301619,38,491,73,366,0,51,0,1,0,2,162.8,68
Porto-Novo,Benin,BJ,6.4833,2.6166,300000,38,110,28,43,0,36,1,2,0,0,36.7,60
Curepipe,Mauritius,MU,-20.3162,57.5166,299975,68,123,4,25,0,73,8,13,0,0,41.0,67
Dumyat,Egypt,EG,31.4204,31.82,299459,55,14,5,2,0,5,0,2,0,0,4.7,51
Thiès,Senegal,SN,14.8104,-16.93,293001,38,95,1,39,0,49,1,5,62,1,32.4,58
Makurdi,Nigeria,NG,7.73,8.53,292645,37,1,0,0,0,1,0,0,0,0,0.3,16
Minna,Nigeria,NG,9.62,6.55,291905,37,75,14,61,0,0,0,0,0,0,25.7,60
Mbeya,Tanzania,TZ,-8.89,33.43,291649,36,42,3,3,0,22,0,14,0,0,14.4,54
Bafoussam,Cameroon,CM,5.4904,10.4099,290768,38,34,10,11,0,13,0,0,0,1,11.7,68
Butembo,Congo (Kinshasa),CD,0.13,29.28,286403,28,408,34,145,0,15,23,191,0,0,142.5,56
Sekondi,Ghana,GH,4.9433,-1.704,286248,45,47,1,10,0,32,0,4,0,0,16.4,53
Zagazig,Egypt,EG,30.5833,31.5167,285097,55,42,16,7,0,19,0,0,0,0,14.7,67
Batna,Algeria,DZ,35.57,6.17,280798,62,139,8,49,0,64,2,16,0,0,49.5,70
Kaolack,Senegal,SN,14.15,-16.1,277812,38,27,0,13,0,13,0,1,41,2,9.7,52
Owo,Nigeria,NG,7.2004,5.59,276574,37,0,0,0,0,0,0,0,0,0,0.0,15
Mbandaka,Congo (Kinshasa),CD,0.04,18.26,274996,28,67,9,50,0,8,0,0,0,0,24.4,56
Sétif,Algeria,DZ,36.18,5.4,274744,62,248,11,113,0,101,2,21,0,1,90.3,78
Gombe,Nigeria,NG,10.2904,11.17,270366,37,33,9,16,0,5,3,0,0,1,12.2,68
Thohoyandou,South Africa,ZA,-22.95,30.48,269707,52,14,0,11,0,3,0,0,0,0,5.2,36
Windhoek,Namibia,NA,-22.57,17.0835,268132,45,117,1,53,0,33,11,19,0,0,43.6,53
Tshikapa,Congo (Kinshasa),CD,-6.41,20.77,267462,28,19,0,16,0,3,0,0,0,0,7.1,32
Umuahia,Nigeria,NG,5.532,7.486,264662,37,13,2,3,0,8,0,0,0,0,4.9,40
Tubruq,Libya,LY,32.08,23.96,263527,58,35,6,10,0,19,0,0,0,1,13.3,76
Kindu,Congo (Kinshasa),CD,-2.9639,25.91,262914,28,4,0,4,0,0,0,0,0,0,1.5,16
Mendefera,Eritrea,ER,14.886,38.8163,257390,28,2,0,1,0,1,0,0,0,0,0.8,14
Ondo,Nigeria,NG,7.0904,4.84,257005,37,57,0,12,0,45,0,0,0,0,22.2,45
Chimoio,Mozambique,MZ,-19.12,33.47,256936,32,26,2,22,0,2,0,0,0,0,10.1,53
Damaturu,Nigeria,NG,11.749,11.966,255895,37,7,3,4,0,0,0,0,0,0,2.7,33
Daloa,Ivory Coast,CI,6.89,-6.45,255168,36,0,0,0,0,0,0,0,0,0,0.0,14
El Fasher,Sudan,SD,13.63,25.35,252609,35,0,0,0,0,0,0,0,0,0,0.0,14
Dire Dawa,Ethiopia,ET,9.59,41.86,252279,34,11,3,0,0,7,0,1,0,0,4.4,37
Morogoro,Tanzania,TZ,-6.82,37.66,250902,36,134,9,45,0,69,4,7,0,3,53.4,74
Iwo,Nigeria,NG,7.63,4.18,250443,37,3,2,0,0,1,0,0,0,0,1.2,28
Arua,Uganda,UG,3.0204,30.9,250000,38,508,130,305,0,72,1,0,438,146,203.2,75
Mutare,Zimbabwe,ZW,-18.97,32.65,249365,40,6,2,4,0,0,0,0,0,0,2.4,33
Matadi,Congo (Kinshasa),CD,-5.8166,13.45,245862,28,4,3,0,0,1,0,0,0,0,1.6,26
Springs,South Africa,ZA,-26.2696,28.43,236083,52,24,8,6,0,8,0,2,104,2,10.2,74
Kismaayo,Somalia,SO,-0.3566,42.5183,234852,19,1,1,0,0,0,0,0,0,0,0.4,14
Niamey,Niger,NE,13.4916,7.0964,232555,26,272,11,113,0,134,3,11,0,0,117.0,55
Ngaoundéré,Cameroon,CM,7.3204,13.58,231357,38,37,0,21,0,16,0,0,0,0,16.0,45
