city,country,country_code,latitude,longitude,population,hospitals,clinics,health_centers,pharmacies,laboratories,total_facilities,facilities_per_100k,hospital_beds_total,hospital_beds_per_10k,icu_beds_estimated,physicians_per_100k,nurses_per_100k,chw_per_100k,total_health_workers,daily_test_capacity,test_capacity_per_100k,cold_chain_score,pharma_import_dependency_pct,has_local_production,health_expenditure_per_capita,out_of_pocket_pct,jee_prevent,jee_detect,jee_respond,ghsi_overall,haq_index,medical_services_score,health_capacity_score,supply_chain_resilience_index
Ilorin,Nigeria,NG,8.492,4.548,771000,20,0,0,15,0,36,4.7,337,4.4,7,36.2,86.1,30.0,1175,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,44.0,23.5
Kananga,Congo (Kinshasa),CD,-5.8881,22.3981,765000,0,2,0,0,0,2,0.3,90,1.2,1,3.1,2.2,20.0,193,0,0.0,30.0,95.0,1,23.4,38.0,1.8,2.0,1.8,21.5,28.0,28.0,12.0,11.5
Cotonou,Benin,BJ,6.402,2.518,762000,15,170,0,148,1,349,45.8,185,2.4,4,12.0,84.1,30.0,961,38,5.0,45.0,99.0,0,46.5,42.4,2.0,2.3,2.0,24.3,38.0,38.0,60.0,18.0
Pietermaritzburg,South Africa,ZA,-29.61,30.39,750845,0,3,0,9,0,14,1.9,593,7.9,30,26.9,116.6,25.0,1265,0,0.0,80.0,72.0,1,536.6,6.7,3.3,3.5,3.3,45.8,52.0,52.0,26.0,42.2
Tangier,Morocco,MA,35.7473,-5.8327,750060,7,15,0,510,3,553,73.7,787,10.5,39,113.9,102.8,15.0,1737,175,23.3,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,74.0,42.3
Nouakchott,Mauritania,MR,18.0864,-15.9753,742144,3,25,0,232,4,280,37.7,279,3.8,6,24.5,250.3,15.0,2151,133,17.9,38.0,99.0,0,92.1,43.8,1.8,2.0,1.8,19.9,34.0,34.0,54.0,24.1
Oyo,Nigeria,NG,7.8504,3.93,736072,3,0,0,1,0,4,0.5,51,0.7,1,5.7,10.0,30.0,337,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,26.0,18.8
Sokoto,Nigeria,NG,13.06,5.24,732178,30,69,0,1,0,100,13.7,506,6.9,10,57.2,252.0,30.0,2484,0,0.0,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,68.0,30.1
Moshi,Tanzania,TZ,-3.3396,37.34,721018,11,23,0,8,0,43,6.0,250,3.5,5,7.2,3.6,40.0,367,0,0.0,62.0,88.0,1,36.3,27.9,2.5,3.0,2.5,29.5,36.0,36.0,55.0,20.4
Bulawayo,Zimbabwe,ZW,-20.17,28.58,699385,2,4,0,3,0,9,1.3,912,13.0,18,12.5,46.7,25.0,588,0,0.0,45.0,90.0,1,62.9,10.6,2.5,2.8,2.5,26.1,40.0,40.0,30.0,23.5
